,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
0,0.1,0.1,0.1,0.1,0.1,0.00411522633744856,"[5, 23, 26, 19, 24, 5, 24, 23, 7, 22, 7, 21, 25, 2, 5, 19, 17, 24, 21, 1, 22, 8, 2, 1, 26, 7, 0, 18, 0, 3, 19, 8, 15, 3, 25, 18, 17, 11, 0, 17, 13, 14, 22, 25, 12, 12, 4, 4, 8, 2, 10, 23, 1, 10, 21, 6, 20, 10, 16, 6, 4, 13, 26, 13, 11, 9, 15, 18, 3, 15, 11, 16, 20, 16, 12, 20, 6, 14, 9, 9, 14]"
1,0.1,0.1,0.1,0.1,0.3,0.004166666666666667,"[2, 26, 7, 0, 26, 19, 0, 20, 20, 21, 12, 22, 3, 10, 13, 21, 5, 15, 13, 12, 18, 8, 6, 22, 22, 2, 7, 8, 5, 5, 19, 26, 17, 3, 0, 25, 16, 23, 4, 13, 18, 25, 23, 15, 10, 25, 9, 14, 23, 10, 17, 8, 19, 6, 6, 16, 14, 1, 11, 2, 1, 21, 9, 24, 18, 24, 3, 17, 16, 24, 11, 11, 20, 7, 14, 15, 4, 9, 12, 4, 1]"
2,0.1,0.1,0.1,0.3,0.1,0.004219409282700422,"[19, 0, 25, 12, 2, 6, 4, 12, 6, 9, 0, 3, 7, 11, 19, 22, 21, 4, 22, 10, 9, 6, 24, 1, 23, 7, 18, 26, 8, 3, 2, 21, 13, 18, 24, 20, 26, 14, 2, 10, 18, 11, 20, 16, 23, 1, 12, 15, 1, 3, 14, 16, 23, 8, 9, 4, 25, 19, 20, 5, 22, 13, 24, 11, 14, 17, 7, 16, 13, 15, 25, 21, 10, 0, 5, 5, 15, 17, 26, 17, 8]"
3,0.1,0.1,0.1,0.3,0.3,0.0041841004184100415,"[21, 11, 9, 0, 1, 18, 8, 21, 8, 4, 4, 15, 12, 20, 9, 0, 11, 16, 20, 18, 5, 20, 22, 12, 12, 24, 8, 16, 15, 19, 6, 19, 19, 16, 25, 2, 4, 3, 1, 22, 11, 17, 15, 18, 13, 0, 10, 26, 9, 2, 25, 17, 6, 24, 21, 3, 5, 22, 7, 5, 7, 25, 2, 6, 10, 1, 10, 23, 23, 13, 7, 26, 14, 24, 14, 14, 3, 26, 17, 23, 13]"
4,0.1,0.1,0.3,0.1,0.1,0.00423728813559322,"[19, 18, 14, 8, 5, 14, 2, 22, 21, 19, 5, 8, 18, 21, 26, 5, 10, 24, 2, 15, 15, 22, 10, 22, 2, 25, 15, 26, 24, 7, 13, 8, 9, 7, 21, 12, 3, 4, 25, 26, 23, 3, 9, 6, 3, 9, 18, 14, 12, 23, 6, 1, 1, 20, 4, 20, 16, 11, 19, 10, 0, 7, 24, 13, 6, 17, 0, 11, 16, 16, 13, 12, 1, 17, 20, 17, 25, 11, 23, 4, 0]"
5,0.1,0.1,0.3,0.1,0.3,0.0041841004184100415,"[1, 24, 1, 22, 20, 24, 9, 15, 24, 15, 3, 16, 20, 9, 10, 22, 4, 3, 16, 10, 18, 12, 23, 9, 13, 12, 11, 25, 14, 22, 13, 15, 4, 14, 25, 18, 12, 21, 26, 23, 5, 16, 18, 21, 5, 14, 25, 23, 10, 1, 4, 8, 8, 6, 17, 26, 19, 13, 19, 0, 0, 17, 6, 11, 8, 19, 2, 6, 21, 17, 5, 7, 20, 2, 0, 3, 11, 2, 26, 7, 7]"
6,0.1,0.1,0.3,0.3,0.1,0.004166666666666667,"[6, 4, 4, 8, 13, 20, 8, 24, 9, 3, 16, 6, 24, 22, 24, 7, 9, 6, 21, 18, 16, 22, 13, 18, 9, 10, 10, 5, 14, 21, 13, 26, 25, 18, 16, 2, 19, 17, 2, 10, 1, 21, 25, 7, 3, 1, 12, 1, 17, 3, 2, 23, 4, 22, 23, 11, 26, 15, 23, 17, 5, 26, 5, 19, 25, 11, 8, 7, 0, 14, 0, 12, 11, 15, 15, 20, 20, 19, 12, 14, 0]"
7,0.1,0.1,0.3,0.3,0.3,0.004081632653061225,"[24, 10, 4, 24, 6, 23, 15, 19, 20, 2, 16, 25, 24, 13, 17, 12, 15, 4, 13, 5, 2, 18, 17, 10, 10, 0, 19, 21, 16, 12, 0, 0, 8, 13, 23, 6, 3, 21, 26, 20, 11, 22, 23, 18, 25, 26, 1, 22, 7, 2, 20, 25, 12, 11, 3, 5, 18, 6, 14, 5, 21, 16, 4, 22, 11, 19, 8, 7, 8, 9, 1, 15, 3, 14, 14, 26, 1, 17, 9, 7, 9]"
8,0.1,0.3,0.1,0.1,0.1,0.004081632653061225,"[24, 15, 24, 20, 7, 24, 17, 22, 15, 6, 10, 20, 6, 19, 25, 7, 21, 9, 17, 21, 21, 6, 13, 9, 5, 1, 15, 22, 26, 2, 25, 22, 14, 12, 14, 1, 7, 5, 5, 4, 8, 0, 20, 25, 1, 10, 26, 23, 2, 14, 12, 13, 16, 9, 0, 10, 11, 12, 2, 4, 8, 8, 26, 17, 23, 23, 16, 11, 19, 13, 18, 19, 3, 18, 16, 3, 3, 11, 18, 4, 0]"
9,0.1,0.3,0.1,0.1,0.3,0.0040650406504065045,"[25, 17, 0, 23, 3, 23, 13, 18, 9, 5, 17, 3, 6, 0, 11, 9, 18, 1, 18, 13, 10, 25, 13, 4, 10, 5, 8, 1, 12, 3, 4, 12, 24, 9, 6, 25, 20, 24, 22, 6, 26, 11, 19, 11, 17, 16, 22, 15, 12, 21, 4, 8, 26, 21, 7, 15, 24, 8, 2, 20, 19, 0, 20, 22, 1, 16, 14, 19, 14, 26, 23, 5, 7, 21, 10, 16, 7, 14, 2, 2, 15]"
