,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence,parameter C
0,0.1,,0.1,0.1,0.1,0.002331002331002331,"[10, 24, 26, 14, 12, 14, 19, 16, 16, 18, 1, 14, 18, 15, 18, 10, 21, 13, 7, 15, 3, 15, 11, 25, 26, 19, 17, 20, 24, 23, 25, 5, 8, 6, 4, 20, 24, 21, 3, 2, 8, 7, 21, 5, 16, 26, 8, 17, 13, 13, 0, 10, 2, 20, 22, 0, 17, 3, 4, 9, 11, 1, 6, 6, 12, 9, 12, 1, 4, 23, 7, 9, 11, 0, 2, 22, 19, 5, 22, 23, 25]",0.1
1,0.1,,0.1,0.1,0.2,0.002551020408163265,"[23, 11, 3, 11, 14, 16, 17, 5, 16, 9, 2, 15, 2, 24, 0, 21, 5, 17, 9, 6, 20, 14, 7, 1, 20, 10, 12, 7, 13, 15, 20, 18, 5, 17, 16, 3, 22, 14, 10, 2, 21, 25, 21, 19, 9, 4, 18, 26, 7, 10, 18, 8, 6, 25, 22, 11, 12, 4, 13, 3, 8, 19, 1, 26, 23, 13, 23, 22, 6, 0, 12, 25, 24, 4, 1, 19, 0, 26, 8, 24, 15]",0.1
2,0.1,,0.1,0.1,0.3,0.0022935779816513763,"[3, 10, 2, 17, 7, 26, 24, 7, 8, 25, 1, 18, 11, 21, 3, 13, 11, 17, 1, 19, 6, 24, 10, 12, 5, 21, 18, 26, 20, 5, 0, 23, 16, 5, 22, 25, 15, 12, 9, 6, 14, 16, 10, 19, 2, 22, 26, 1, 17, 20, 7, 2, 3, 0, 13, 16, 25, 8, 4, 13, 9, 8, 22, 4, 14, 20, 15, 15, 23, 18, 21, 19, 11, 24, 23, 0, 4, 6, 9, 14, 12]",0.1
3,0.1,,0.1,0.1,0.4,0.002531645569620253,"[5, 2, 20, 0, 7, 10, 10, 24, 6, 3, 15, 8, 20, 16, 8, 9, 7, 21, 22, 11, 12, 11, 25, 5, 1, 17, 18, 14, 23, 24, 3, 23, 19, 0, 5, 2, 7, 6, 20, 26, 13, 14, 25, 15, 1, 17, 0, 10, 19, 12, 15, 9, 23, 4, 22, 3, 6, 4, 14, 2, 13, 24, 19, 18, 22, 21, 21, 17, 16, 26, 26, 9, 13, 11, 16, 4, 1, 25, 8, 18, 12]",0.1
4,0.1,,0.1,0.1,0.5,0.002512562814070352,"[0, 14, 22, 14, 9, 11, 12, 19, 10, 4, 6, 10, 3, 19, 4, 22, 24, 13, 26, 24, 19, 15, 1, 21, 2, 23, 8, 25, 18, 12, 17, 13, 15, 20, 9, 7, 5, 21, 8, 11, 1, 10, 7, 16, 6, 23, 26, 7, 2, 5, 20, 18, 3, 13, 20, 17, 24, 2, 15, 23, 21, 12, 6, 17, 16, 1, 22, 11, 4, 9, 5, 8, 25, 0, 16, 3, 26, 0, 14, 25, 18]",0.1
5,0.1,,0.1,0.2,0.1,0.002364066193853428,"[4, 23, 13, 10, 17, 2, 14, 11, 20, 21, 22, 19, 20, 11, 4, 15, 1, 26, 16, 16, 22, 23, 15, 25, 14, 2, 7, 7, 8, 21, 1, 18, 18, 11, 9, 5, 18, 16, 13, 24, 6, 9, 8, 2, 12, 23, 26, 6, 9, 12, 0, 26, 17, 25, 8, 0, 5, 24, 3, 3, 13, 10, 6, 0, 10, 3, 5, 24, 25, 14, 7, 4, 12, 15, 20, 1, 17, 19, 21, 22, 19]",0.1
6,0.1,,0.1,0.2,0.2,0.0024937655860349127,"[4, 4, 11, 9, 19, 15, 21, 24, 13, 8, 10, 17, 23, 7, 18, 22, 9, 12, 21, 6, 10, 26, 10, 25, 1, 7, 20, 0, 19, 1, 15, 0, 20, 16, 8, 24, 25, 18, 4, 3, 22, 12, 14, 23, 6, 3, 6, 19, 21, 13, 13, 11, 15, 16, 9, 23, 20, 25, 1, 11, 12, 26, 0, 14, 2, 2, 8, 17, 22, 24, 5, 18, 16, 17, 2, 26, 7, 3, 5, 5, 14]",0.1
7,0.1,,0.1,0.2,0.3,0.002352941176470588,"[20, 23, 20, 3, 10, 7, 2, 1, 21, 4, 15, 17, 14, 25, 16, 17, 24, 11, 3, 10, 7, 23, 7, 16, 1, 14, 8, 24, 0, 14, 6, 3, 21, 21, 5, 2, 10, 26, 4, 18, 15, 22, 23, 12, 19, 6, 20, 24, 11, 22, 13, 13, 8, 18, 5, 15, 26, 19, 9, 1, 5, 0, 25, 9, 26, 12, 8, 18, 11, 2, 4, 12, 17, 16, 25, 13, 0, 9, 19, 6, 22]",0.1
8,0.1,,0.1,0.2,0.4,0.002570694087403599,"[5, 0, 19, 9, 3, 6, 2, 6, 4, 13, 19, 21, 2, 16, 5, 22, 9, 17, 11, 8, 11, 4, 10, 14, 23, 22, 0, 11, 26, 26, 14, 7, 19, 5, 24, 24, 13, 14, 4, 0, 1, 21, 23, 9, 6, 24, 3, 15, 17, 16, 15, 12, 13, 23, 18, 10, 20, 12, 7, 2, 7, 8, 16, 25, 1, 3, 1, 18, 20, 22, 26, 18, 10, 8, 20, 25, 21, 12, 17, 15, 25]",0.1
9,0.1,,0.1,0.2,0.5,0.0024691358024691358,"[7, 12, 11, 14, 0, 21, 20, 9, 5, 15, 0, 19, 9, 13, 3, 15, 5, 7, 2, 22, 22, 17, 26, 1, 23, 20, 11, 25, 12, 6, 26, 4, 2, 6, 26, 3, 25, 10, 13, 2, 16, 4, 1, 4, 25, 17, 20, 24, 10, 14, 12, 15, 23, 6, 10, 23, 7, 18, 5, 18, 16, 21, 16, 3, 21, 1, 24, 14, 8, 22, 9, 0, 11, 24, 8, 17, 13, 18, 8, 19, 19]",0.1
10,0.1,,0.1,0.3,0.1,0.0024271844660194173,"[7, 0, 14, 24, 4, 23, 0, 5, 4, 17, 20, 6, 0, 16, 21, 8, 23, 20, 15, 22, 25, 15, 10, 4, 16, 15, 9, 18, 3, 8, 11, 17, 16, 22, 6, 5, 26, 24, 25, 8, 12, 1, 1, 7, 13, 21, 20, 2, 9, 6, 19, 18, 14, 3, 11, 23, 17, 10, 19, 1, 14, 2, 11, 24, 7, 26, 5, 25, 10, 26, 19, 13, 3, 12, 2, 12, 18, 13, 21, 22, 9]",0.1
11,0.1,,0.1,0.3,0.2,0.0024330900243309003,"[12, 20, 25, 0, 6, 24, 12, 1, 8, 8, 2, 22, 4, 7, 16, 8, 25, 22, 3, 23, 19, 9, 17, 0, 7, 24, 23, 26, 11, 12, 21, 15, 25, 6, 1, 26, 15, 18, 15, 3, 9, 13, 20, 26, 16, 14, 10, 16, 22, 2, 21, 18, 4, 17, 1, 13, 5, 7, 9, 14, 10, 0, 11, 13, 11, 21, 24, 4, 6, 5, 17, 20, 14, 18, 19, 19, 10, 5, 3, 23, 2]",0.1
12,0.1,,0.1,0.3,0.3,0.0024937655860349127,"[0, 23, 23, 8, 3, 18, 1, 26, 18, 21, 10, 10, 12, 18, 3, 22, 19, 0, 14, 10, 22, 5, 19, 15, 0, 13, 4, 21, 24, 12, 6, 5, 3, 17, 16, 25, 7, 11, 15, 11, 9, 26, 24, 2, 16, 23, 19, 20, 6, 4, 5, 20, 13, 4, 14, 6, 9, 15, 8, 7, 17, 20, 26, 16, 11, 12, 13, 1, 21, 2, 7, 25, 2, 1, 14, 8, 24, 25, 17, 22, 9]",0.1
13,0.1,,0.1,0.3,0.4,0.0023752969121140144,"[11, 19, 14, 12, 7, 21, 3, 4, 10, 26, 14, 24, 17, 20, 18, 3, 2, 15, 14, 6, 8, 0, 8, 2, 12, 10, 17, 16, 1, 21, 4, 20, 9, 5, 7, 0, 3, 6, 23, 2, 1, 24, 19, 21, 23, 12, 9, 16, 25, 5, 8, 20, 6, 1, 23, 13, 5, 25, 16, 22, 24, 10, 26, 26, 22, 11, 18, 15, 9, 13, 17, 7, 0, 13, 25, 19, 22, 15, 11, 4, 18]",0.1
14,0.1,,0.1,0.3,0.5,0.002325581395348837,"[19, 17, 12, 12, 10, 15, 13, 18, 4, 23, 4, 10, 8, 24, 8, 16, 8, 18, 7, 5, 12, 21, 11, 6, 7, 13, 26, 3, 11, 13, 16, 25, 6, 3, 7, 17, 1, 4, 15, 19, 9, 6, 14, 2, 5, 24, 18, 2, 23, 20, 21, 22, 9, 19, 25, 22, 21, 1, 24, 22, 14, 16, 15, 23, 0, 17, 0, 1, 20, 10, 11, 25, 3, 14, 9, 2, 26, 26, 5, 20, 0]",0.1
