,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
0,0.1,0.1,0.1,0.1,0.1,0.0040650406504065045,"[12, 10, 2, 12, 10, 19, 21, 2, 19, 16, 22, 21, 0, 25, 16, 21, 5, 2, 22, 1, 0, 24, 6, 6, 9, 1, 20, 22, 10, 13, 24, 12, 25, 6, 9, 7, 1, 11, 13, 19, 5, 25, 20, 7, 23, 18, 0, 11, 17, 8, 15, 16, 13, 5, 17, 23, 14, 3, 18, 24, 15, 14, 7, 8, 11, 23, 9, 26, 14, 8, 17, 20, 3, 26, 18, 15, 3, 4, 26, 4, 4]"
1,0.1,0.1,0.1,0.1,0.3,0.004081632653061225,"[22, 14, 7, 22, 18, 12, 9, 24, 10, 14, 24, 2, 3, 11, 11, 15, 7, 2, 25, 15, 7, 22, 1, 24, 9, 12, 15, 23, 2, 19, 18, 1, 16, 8, 25, 6, 25, 19, 16, 20, 6, 6, 21, 21, 19, 23, 10, 4, 3, 17, 1, 20, 20, 9, 17, 26, 0, 14, 8, 10, 5, 21, 26, 0, 13, 12, 4, 23, 5, 4, 8, 13, 13, 16, 18, 3, 11, 17, 5, 26, 0]"
2,0.1,0.1,0.1,0.1,0.5,0.004032258064516129,"[3, 10, 19, 4, 4, 14, 10, 23, 22, 10, 22, 14, 8, 23, 18, 11, 25, 9, 12, 23, 12, 0, 20, 18, 14, 11, 19, 4, 22, 5, 9, 1, 13, 3, 17, 18, 17, 8, 25, 26, 26, 1, 12, 15, 17, 13, 6, 0, 7, 8, 15, 20, 9, 19, 20, 15, 21, 13, 2, 3, 0, 2, 24, 25, 6, 21, 2, 16, 24, 16, 1, 7, 16, 5, 21, 26, 24, 11, 5, 6, 7]"
3,0.1,0.1,0.1,0.1,0.7,0.0040650406504065045,"[12, 24, 10, 11, 21, 16, 24, 19, 9, 21, 3, 14, 24, 9, 1, 7, 12, 2, 15, 10, 14, 13, 20, 4, 3, 26, 20, 2, 26, 9, 12, 7, 10, 1, 21, 14, 16, 26, 16, 2, 0, 19, 11, 0, 13, 7, 23, 13, 5, 22, 25, 3, 22, 1, 8, 25, 17, 0, 6, 15, 6, 18, 25, 22, 19, 8, 8, 4, 17, 20, 5, 18, 23, 5, 4, 6, 11, 15, 23, 17, 18]"
4,0.1,0.1,0.1,0.1,0.9,0.00411522633744856,"[17, 17, 21, 15, 12, 0, 16, 12, 11, 20, 15, 10, 20, 0, 4, 21, 22, 17, 12, 25, 23, 6, 7, 16, 3, 26, 9, 19, 2, 18, 15, 23, 21, 4, 11, 22, 26, 10, 13, 2, 3, 11, 1, 6, 9, 0, 24, 23, 3, 6, 18, 1, 2, 9, 24, 7, 5, 8, 18, 5, 14, 26, 25, 4, 16, 19, 14, 20, 10, 5, 7, 8, 24, 14, 13, 22, 25, 13, 1, 8, 19]"
5,0.1,0.1,0.1,0.3,0.1,0.004016064257028112,"[22, 21, 24, 20, 18, 14, 3, 22, 24, 21, 24, 2, 17, 1, 12, 3, 2, 9, 1, 10, 11, 20, 5, 14, 15, 8, 18, 25, 19, 11, 14, 26, 26, 9, 6, 23, 25, 3, 19, 15, 9, 5, 21, 17, 20, 10, 0, 10, 13, 0, 0, 22, 25, 23, 19, 5, 4, 23, 8, 12, 26, 13, 1, 7, 18, 8, 16, 4, 16, 4, 16, 7, 12, 15, 11, 17, 6, 2, 6, 13, 7]"
6,0.1,0.1,0.1,0.3,0.3,0.004081632653061225,"[9, 25, 9, 4, 4, 13, 23, 9, 19, 12, 14, 24, 22, 13, 21, 10, 12, 14, 7, 25, 2, 24, 21, 15, 23, 25, 11, 8, 22, 4, 14, 24, 10, 2, 1, 1, 0, 15, 11, 13, 20, 6, 0, 1, 20, 20, 7, 21, 15, 19, 23, 3, 18, 0, 3, 8, 19, 6, 17, 5, 16, 18, 22, 5, 12, 2, 8, 16, 18, 3, 11, 26, 6, 17, 26, 7, 10, 26, 17, 16, 5]"
7,0.1,0.1,0.1,0.3,0.5,0.00411522633744856,"[18, 2, 14, 1, 15, 26, 0, 6, 15, 11, 3, 2, 11, 21, 21, 26, 0, 6, 5, 23, 7, 18, 24, 1, 9, 14, 14, 17, 26, 3, 3, 12, 6, 23, 21, 12, 20, 10, 18, 19, 25, 20, 5, 5, 10, 23, 11, 24, 8, 17, 13, 19, 20, 9, 15, 22, 7, 17, 2, 0, 7, 12, 9, 24, 22, 19, 10, 8, 8, 16, 16, 1, 13, 22, 4, 16, 25, 4, 13, 4, 25]"
8,0.1,0.1,0.1,0.3,0.7,0.004098360655737705,"[9, 21, 24, 19, 12, 12, 0, 3, 25, 21, 4, 11, 25, 24, 22, 2, 11, 7, 3, 19, 13, 13, 4, 9, 22, 0, 10, 15, 26, 18, 15, 23, 10, 14, 7, 18, 10, 3, 20, 11, 8, 9, 7, 12, 17, 21, 20, 19, 26, 8, 20, 0, 13, 16, 25, 22, 2, 4, 14, 14, 26, 6, 24, 23, 18, 23, 5, 6, 17, 2, 1, 8, 6, 1, 15, 16, 16, 5, 17, 5, 1]"
9,0.1,0.1,0.1,0.3,0.9,0.004132231404958678,"[21, 24, 19, 3, 20, 22, 5, 6, 5, 9, 18, 14, 0, 23, 25, 19, 3, 2, 26, 21, 12, 13, 24, 22, 18, 4, 1, 25, 19, 6, 14, 18, 20, 3, 9, 2, 1, 16, 11, 14, 15, 9, 13, 12, 15, 4, 21, 24, 20, 26, 11, 1, 5, 15, 16, 25, 26, 13, 12, 10, 23, 2, 7, 4, 8, 10, 6, 11, 0, 10, 8, 7, 17, 23, 17, 0, 22, 8, 7, 16, 17]"
10,0.1,0.1,0.1,0.5,0.1,0.004149377593360996,"[22, 14, 22, 15, 14, 24, 20, 1, 1, 20, 13, 18, 7, 8, 15, 7, 21, 24, 12, 11, 18, 13, 19, 19, 6, 26, 12, 3, 17, 6, 23, 11, 19, 21, 2, 5, 17, 20, 5, 7, 0, 16, 13, 24, 8, 25, 4, 17, 18, 26, 8, 22, 0, 2, 16, 3, 1, 25, 21, 10, 0, 10, 5, 16, 14, 9, 4, 11, 23, 6, 4, 26, 9, 23, 10, 3, 15, 25, 12, 2, 9]"
11,0.1,0.1,0.1,0.5,0.3,0.004149377593360996,"[9, 0, 17, 8, 21, 8, 14, 14, 9, 13, 0, 15, 5, 12, 19, 21, 2, 17, 9, 8, 2, 18, 24, 14, 12, 11, 20, 11, 24, 5, 23, 4, 25, 13, 17, 21, 25, 11, 15, 22, 19, 20, 15, 4, 23, 1, 10, 2, 19, 22, 0, 20, 4, 6, 6, 10, 24, 16, 3, 7, 6, 7, 18, 16, 25, 5, 7, 18, 10, 1, 26, 3, 13, 22, 26, 23, 12, 3, 16, 1, 26]"
12,0.1,0.1,0.1,0.5,0.5,0.0040650406504065045,"[22, 5, 12, 23, 26, 4, 1, 23, 22, 10, 17, 26, 5, 1, 19, 1, 17, 2, 17, 15, 12, 10, 15, 21, 25, 0, 13, 7, 4, 4, 25, 0, 21, 16, 10, 2, 6, 19, 13, 5, 22, 9, 12, 0, 19, 25, 16, 18, 15, 11, 14, 11, 18, 20, 21, 9, 26, 8, 13, 7, 24, 14, 18, 2, 14, 8, 6, 24, 23, 6, 16, 8, 24, 3, 20, 20, 3, 9, 7, 11, 3]"
13,0.1,0.1,0.1,0.5,0.7,0.004032258064516129,"[15, 22, 0, 7, 15, 19, 22, 24, 23, 20, 18, 9, 10, 12, 11, 22, 21, 18, 8, 26, 0, 25, 15, 7, 14, 19, 10, 9, 4, 17, 24, 26, 20, 21, 5, 20, 12, 4, 3, 0, 23, 24, 6, 25, 26, 16, 14, 25, 3, 2, 4, 17, 14, 18, 2, 1, 19, 3, 8, 7, 13, 9, 23, 12, 17, 6, 5, 13, 1, 16, 11, 2, 21, 6, 10, 1, 16, 5, 13, 8, 11]"
14,0.1,0.1,0.1,0.5,0.9,0.004,"[18, 8, 13, 24, 24, 9, 13, 3, 23, 24, 12, 9, 12, 1, 17, 20, 15, 10, 10, 22, 23, 15, 15, 14, 6, 21, 20, 16, 22, 21, 7, 11, 23, 11, 13, 20, 6, 5, 19, 17, 9, 19, 4, 25, 22, 6, 3, 18, 8, 10, 3, 21, 17, 18, 25, 2, 11, 0, 5, 8, 14, 16, 0, 25, 4, 26, 7, 0, 1, 26, 16, 14, 5, 4, 2, 2, 7, 12, 26, 19, 1]"
15,0.1,0.1,0.1,0.7,0.1,0.004081632653061225,"[4, 23, 3, 26, 19, 18, 3, 1, 21, 26, 23, 23, 19, 0, 9, 15, 0, 4, 18, 22, 20, 21, 20, 17, 2, 22, 0, 21, 5, 6, 12, 22, 10, 6, 15, 9, 12, 24, 1, 26, 25, 10, 13, 17, 7, 24, 3, 16, 25, 5, 2, 12, 13, 14, 11, 11, 18, 16, 24, 10, 8, 19, 5, 7, 16, 14, 11, 25, 15, 6, 8, 20, 4, 8, 14, 1, 2, 7, 9, 13, 17]"
16,0.1,0.1,0.1,0.7,0.3,0.004149377593360996,"[13, 21, 16, 21, 24, 22, 1, 16, 0, 24, 0, 10, 18, 17, 21, 22, 3, 10, 18, 1, 2, 2, 14, 17, 1, 20, 11, 20, 13, 9, 13, 8, 25, 26, 10, 24, 3, 19, 5, 9, 12, 25, 0, 7, 25, 17, 3, 23, 14, 11, 5, 15, 26, 8, 8, 18, 19, 12, 5, 16, 7, 4, 9, 15, 2, 23, 23, 22, 7, 19, 6, 6, 6, 12, 26, 14, 20, 11, 4, 4, 15]"
17,0.1,0.1,0.1,0.7,0.5,0.0041841004184100415,"[21, 9, 25, 21, 12, 5, 2, 4, 25, 12, 0, 0, 5, 8, 2, 23, 9, 1, 14, 8, 4, 22, 6, 15, 15, 14, 22, 11, 2, 21, 10, 25, 13, 12, 1, 20, 9, 11, 0, 3, 20, 11, 10, 6, 1, 6, 14, 10, 13, 17, 18, 18, 23, 17, 17, 8, 18, 26, 3, 7, 19, 26, 24, 19, 5, 19, 24, 20, 7, 22, 4, 23, 16, 15, 24, 26, 3, 16, 16, 7, 13]"
18,0.1,0.1,0.1,0.7,0.7,0.00392156862745098,"[11, 15, 10, 2, 20, 3, 3, 6, 2, 19, 23, 6, 15, 18, 20, 10, 21, 6, 3, 12, 19, 2, 5, 12, 23, 9, 5, 21, 17, 25, 10, 25, 22, 11, 20, 24, 18, 12, 14, 4, 15, 17, 8, 1, 22, 22, 26, 4, 0, 11, 14, 23, 8, 9, 1, 21, 1, 26, 24, 4, 14, 18, 25, 16, 13, 7, 16, 0, 7, 16, 24, 19, 9, 0, 26, 13, 17, 13, 7, 8, 5]"
19,0.1,0.1,0.1,0.7,0.9,0.004032258064516129,"[9, 16, 9, 18, 18, 25, 3, 25, 7, 19, 3, 23, 16, 14, 11, 5, 0, 7, 22, 17, 5, 0, 18, 16, 14, 3, 23, 2, 20, 9, 6, 21, 22, 4, 0, 4, 20, 20, 22, 21, 6, 6, 25, 12, 12, 23, 26, 26, 4, 17, 19, 10, 8, 1, 11, 5, 15, 7, 1, 24, 2, 12, 13, 24, 11, 26, 13, 19, 10, 21, 8, 17, 2, 24, 1, 8, 14, 13, 10, 15, 15]"
20,0.1,0.1,0.1,0.9,0.1,0.004032258064516129,"[2, 23, 22, 25, 19, 9, 6, 3, 22, 21, 9, 2, 15, 0, 4, 21, 23, 13, 18, 19, 23, 15, 20, 3, 17, 14, 20, 6, 9, 6, 26, 18, 7, 5, 1, 5, 24, 1, 11, 22, 8, 26, 10, 25, 14, 14, 24, 12, 24, 19, 26, 17, 8, 4, 12, 20, 8, 16, 7, 1, 17, 25, 16, 10, 21, 4, 13, 12, 13, 15, 18, 11, 10, 5, 0, 3, 16, 7, 11, 2, 0]"
21,0.1,0.1,0.1,0.9,0.3,0.004016064257028112,"[17, 14, 17, 20, 6, 5, 12, 14, 7, 9, 5, 6, 20, 12, 13, 7, 23, 22, 2, 6, 18, 7, 9, 3, 10, 24, 22, 9, 13, 21, 2, 23, 3, 10, 8, 15, 26, 0, 3, 26, 1, 19, 0, 8, 22, 20, 21, 17, 11, 16, 25, 15, 14, 11, 12, 21, 18, 5, 19, 23, 24, 19, 24, 18, 11, 8, 10, 25, 4, 13, 1, 25, 0, 16, 26, 15, 4, 16, 2, 4, 1]"
22,0.1,0.1,0.1,0.9,0.5,0.004048582995951417,"[24, 1, 14, 24, 19, 1, 0, 11, 4, 17, 23, 22, 11, 5, 14, 4, 25, 8, 9, 23, 5, 22, 25, 0, 25, 14, 1, 9, 4, 21, 13, 2, 15, 12, 21, 24, 26, 23, 18, 13, 20, 12, 19, 22, 21, 8, 3, 18, 6, 11, 3, 8, 17, 6, 2, 12, 20, 5, 26, 19, 13, 10, 9, 18, 10, 7, 3, 15, 26, 0, 6, 15, 16, 7, 16, 2, 16, 17, 10, 7, 20]"
23,0.1,0.1,0.1,0.9,0.7,0.004132231404958678,"[23, 21, 14, 18, 8, 2, 18, 0, 24, 23, 14, 9, 25, 8, 6, 24, 10, 2, 0, 21, 25, 26, 5, 1, 8, 13, 24, 11, 2, 20, 9, 21, 13, 13, 26, 3, 7, 10, 1, 25, 5, 22, 4, 20, 14, 1, 5, 20, 19, 6, 19, 26, 0, 9, 6, 15, 16, 22, 7, 3, 23, 7, 22, 3, 11, 12, 15, 16, 11, 10, 12, 17, 4, 12, 19, 15, 4, 18, 17, 16, 17]"
24,0.1,0.1,0.1,0.9,0.9,0.0040650406504065045,"[8, 10, 21, 20, 7, 22, 19, 24, 21, 11, 19, 10, 18, 8, 11, 6, 7, 9, 4, 22, 26, 21, 16, 8, 25, 13, 24, 26, 0, 23, 14, 5, 13, 4, 25, 9, 11, 6, 20, 3, 15, 22, 14, 16, 20, 26, 23, 19, 12, 2, 1, 15, 25, 2, 7, 10, 14, 24, 17, 1, 3, 17, 6, 18, 12, 23, 3, 16, 15, 5, 0, 4, 5, 18, 17, 2, 1, 13, 9, 0, 12]"
25,0.1,0.1,0.3,0.1,0.1,0.0040650406504065045,"[26, 13, 5, 26, 0, 6, 26, 22, 23, 14, 18, 12, 8, 6, 3, 16, 5, 22, 25, 0, 1, 8, 10, 3, 22, 3, 9, 12, 23, 14, 23, 18, 13, 8, 20, 15, 25, 10, 14, 16, 16, 24, 15, 15, 9, 7, 25, 21, 7, 12, 20, 11, 0, 1, 19, 11, 7, 21, 1, 2, 5, 10, 17, 18, 13, 4, 24, 4, 20, 4, 19, 19, 21, 11, 2, 6, 17, 24, 9, 2, 17]"
