,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
0,0.1,0.1,0.1,0.1,0.1,0.003968253968253968,"[15, 4, 8, 9, 2, 14, 15, 21, 23, 4, 14, 22, 2, 21, 1, 20, 10, 6, 22, 3, 1, 10, 20, 26, 23, 22, 6, 12, 11, 7, 24, 23, 16, 26, 12, 10, 24, 0, 6, 20, 13, 3, 1, 7, 12, 17, 9, 2, 18, 3, 19, 24, 14, 26, 18, 8, 25, 7, 21, 9, 25, 17, 13, 18, 16, 5, 17, 11, 8, 13, 15, 4, 19, 0, 0, 19, 25, 5, 16, 11, 5]"
1,0.1,0.1,0.1,0.1,0.3,0.004032258064516129,"[9, 12, 21, 2, 2, 20, 23, 10, 10, 11, 25, 9, 21, 11, 7, 22, 23, 20, 22, 25, 12, 18, 12, 1, 1, 16, 7, 3, 24, 5, 17, 22, 18, 26, 26, 20, 5, 16, 16, 17, 18, 21, 24, 23, 5, 14, 0, 7, 1, 15, 25, 9, 8, 2, 15, 17, 19, 8, 19, 3, 13, 3, 14, 19, 11, 8, 10, 24, 4, 13, 0, 14, 6, 26, 0, 4, 6, 15, 4, 13, 6]"
2,0.1,0.1,0.1,0.3,0.1,0.004048582995951417,"[9, 12, 21, 2, 2, 20, 23, 10, 10, 11, 25, 9, 21, 11, 7, 22, 23, 20, 22, 25, 12, 18, 12, 1, 1, 16, 7, 3, 24, 5, 17, 22, 18, 26, 26, 20, 5, 16, 16, 17, 18, 21, 24, 23, 5, 14, 0, 7, 1, 15, 25, 9, 8, 2, 15, 17, 19, 8, 19, 3, 13, 3, 14, 19, 11, 8, 10, 24, 4, 13, 0, 14, 6, 26, 0, 4, 6, 15, 4, 13, 6]"
3,0.1,0.1,0.1,0.3,0.3,0.003968253968253968,"[8, 24, 7, 13, 8, 22, 10, 1, 13, 5, 8, 24, 25, 23, 22, 20, 20, 22, 1, 10, 5, 14, 6, 18, 16, 20, 5, 11, 9, 2, 6, 18, 2, 7, 14, 23, 13, 2, 26, 11, 9, 26, 11, 12, 4, 19, 3, 24, 3, 0, 12, 9, 19, 7, 16, 23, 26, 21, 14, 1, 21, 16, 15, 0, 4, 3, 17, 12, 6, 17, 18, 0, 25, 21, 10, 19, 17, 15, 4, 15, 25]"
4,0.1,0.1,0.3,0.1,0.1,0.004048582995951417,"[8, 24, 7, 13, 8, 22, 10, 1, 13, 5, 8, 24, 25, 23, 22, 20, 20, 22, 1, 10, 5, 14, 6, 18, 16, 20, 5, 11, 9, 2, 6, 18, 2, 7, 14, 23, 13, 2, 26, 11, 9, 26, 11, 12, 4, 19, 3, 24, 3, 0, 12, 9, 19, 7, 16, 23, 26, 21, 14, 1, 21, 16, 15, 0, 4, 3, 17, 12, 6, 17, 18, 0, 25, 21, 10, 19, 17, 15, 4, 15, 25]"
5,0.1,0.1,0.3,0.1,0.3,0.004098360655737705,"[22, 11, 26, 22, 13, 20, 12, 10, 7, 7, 15, 26, 13, 11, 2, 18, 0, 15, 12, 18, 15, 23, 2, 10, 0, 19, 16, 5, 23, 20, 6, 21, 26, 7, 19, 8, 8, 16, 16, 19, 22, 23, 18, 25, 24, 24, 21, 9, 17, 14, 1, 0, 20, 9, 4, 25, 1, 13, 9, 5, 4, 21, 6, 25, 12, 17, 3, 14, 2, 24, 10, 1, 3, 3, 11, 17, 14, 8, 5, 6, 4]"
6,0.1,0.1,0.3,0.3,0.1,0.00398406374501992,"[22, 11, 26, 22, 13, 20, 12, 10, 7, 7, 15, 26, 13, 11, 2, 18, 0, 15, 12, 18, 15, 23, 2, 10, 0, 19, 16, 5, 23, 20, 6, 21, 26, 7, 19, 8, 8, 16, 16, 19, 22, 23, 18, 25, 24, 24, 21, 9, 17, 14, 1, 0, 20, 9, 4, 25, 1, 13, 9, 5, 4, 21, 6, 25, 12, 17, 3, 14, 2, 24, 10, 1, 3, 3, 11, 17, 14, 8, 5, 6, 4]"
7,0.1,0.1,0.3,0.3,0.3,0.004016064257028112,"[22, 11, 26, 22, 13, 20, 12, 10, 7, 7, 15, 26, 13, 11, 2, 18, 0, 15, 12, 18, 15, 23, 2, 10, 0, 19, 16, 5, 23, 20, 6, 21, 26, 7, 19, 8, 8, 16, 16, 19, 22, 23, 18, 25, 24, 24, 21, 9, 17, 14, 1, 0, 20, 9, 4, 25, 1, 13, 9, 5, 4, 21, 6, 25, 12, 17, 3, 14, 2, 24, 10, 1, 3, 3, 11, 17, 14, 8, 5, 6, 4]"
8,0.1,0.3,0.1,0.1,0.1,0.004032258064516129,"[22, 11, 26, 22, 13, 20, 12, 10, 7, 7, 15, 26, 13, 11, 2, 18, 0, 15, 12, 18, 15, 23, 2, 10, 0, 19, 16, 5, 23, 20, 6, 21, 26, 7, 19, 8, 8, 16, 16, 19, 22, 23, 18, 25, 24, 24, 21, 9, 17, 14, 1, 0, 20, 9, 4, 25, 1, 13, 9, 5, 4, 21, 6, 25, 12, 17, 3, 14, 2, 24, 10, 1, 3, 3, 11, 17, 14, 8, 5, 6, 4]"
9,0.1,0.3,0.1,0.1,0.3,0.003952569169960474,"[22, 11, 26, 22, 13, 20, 12, 10, 7, 7, 15, 26, 13, 11, 2, 18, 0, 15, 12, 18, 15, 23, 2, 10, 0, 19, 16, 5, 23, 20, 6, 21, 26, 7, 19, 8, 8, 16, 16, 19, 22, 23, 18, 25, 24, 24, 21, 9, 17, 14, 1, 0, 20, 9, 4, 25, 1, 13, 9, 5, 4, 21, 6, 25, 12, 17, 3, 14, 2, 24, 10, 1, 3, 3, 11, 17, 14, 8, 5, 6, 4]"
10,0.1,0.3,0.1,0.3,0.1,0.004132231404958678,"[22, 11, 26, 22, 13, 20, 12, 10, 7, 7, 15, 26, 13, 11, 2, 18, 0, 15, 12, 18, 15, 23, 2, 10, 0, 19, 16, 5, 23, 20, 6, 21, 26, 7, 19, 8, 8, 16, 16, 19, 22, 23, 18, 25, 24, 24, 21, 9, 17, 14, 1, 0, 20, 9, 4, 25, 1, 13, 9, 5, 4, 21, 6, 25, 12, 17, 3, 14, 2, 24, 10, 1, 3, 3, 11, 17, 14, 8, 5, 6, 4]"
11,0.1,0.3,0.1,0.3,0.3,0.004098360655737705,"[23, 19, 22, 9, 9, 10, 22, 3, 21, 10, 23, 6, 8, 8, 20, 21, 7, 2, 18, 7, 2, 19, 18, 5, 5, 22, 9, 8, 18, 20, 6, 26, 0, 20, 11, 6, 17, 0, 23, 24, 17, 1, 24, 16, 24, 11, 7, 13, 12, 25, 3, 26, 17, 25, 26, 1, 16, 15, 19, 5, 10, 15, 13, 4, 21, 16, 14, 11, 12, 14, 1, 0, 14, 4, 4, 25, 3, 12, 13, 15, 2]"
12,0.1,0.3,0.3,0.1,0.1,0.004219409282700422,"[23, 19, 22, 9, 9, 10, 22, 3, 21, 10, 23, 6, 8, 8, 20, 21, 7, 2, 18, 7, 2, 19, 18, 5, 5, 22, 9, 8, 18, 20, 6, 26, 0, 20, 11, 6, 17, 0, 23, 24, 17, 1, 24, 16, 24, 11, 7, 13, 12, 25, 3, 26, 17, 25, 26, 1, 16, 15, 19, 5, 10, 15, 13, 4, 21, 16, 14, 11, 12, 14, 1, 0, 14, 4, 4, 25, 3, 12, 13, 15, 2]"
13,0.1,0.3,0.3,0.1,0.3,0.00398406374501992,"[23, 19, 22, 9, 9, 10, 22, 3, 21, 10, 23, 6, 8, 8, 20, 21, 7, 2, 18, 7, 2, 19, 18, 5, 5, 22, 9, 8, 18, 20, 6, 26, 0, 20, 11, 6, 17, 0, 23, 24, 17, 1, 24, 16, 24, 11, 7, 13, 12, 25, 3, 26, 17, 25, 26, 1, 16, 15, 19, 5, 10, 15, 13, 4, 21, 16, 14, 11, 12, 14, 1, 0, 14, 4, 4, 25, 3, 12, 13, 15, 2]"
14,0.1,0.3,0.3,0.3,0.1,0.004,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
15,0.1,0.3,0.3,0.3,0.3,0.003968253968253968,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
16,0.3,0.1,0.1,0.1,0.1,0.003968253968253968,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
17,0.3,0.1,0.1,0.1,0.3,0.004132231404958678,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
18,0.3,0.1,0.1,0.3,0.1,0.004098360655737705,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
19,0.3,0.1,0.1,0.3,0.3,0.004048582995951417,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
20,0.3,0.1,0.3,0.1,0.1,0.0041841004184100415,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
21,0.3,0.1,0.3,0.1,0.3,0.00398406374501992,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
22,0.3,0.1,0.3,0.3,0.1,0.004016064257028112,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
23,0.3,0.1,0.3,0.3,0.3,0.004,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
24,0.3,0.3,0.1,0.1,0.1,0.00398406374501992,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
25,0.3,0.3,0.1,0.1,0.3,0.004,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
26,0.3,0.3,0.1,0.3,0.1,0.00398406374501992,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
27,0.3,0.3,0.1,0.3,0.3,0.00411522633744856,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
28,0.3,0.3,0.3,0.1,0.1,0.003952569169960474,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
29,0.3,0.3,0.3,0.1,0.3,0.003968253968253968,"[5, 18, 18, 20, 1, 24, 11, 3, 21, 26, 3, 7, 5, 11, 13, 1, 21, 24, 26, 20, 9, 20, 10, 11, 10, 10, 22, 0, 4, 14, 12, 0, 22, 21, 23, 14, 12, 6, 13, 19, 18, 2, 26, 24, 7, 9, 14, 2, 5, 3, 9, 19, 6, 23, 13, 23, 4, 2, 16, 1, 16, 25, 17, 17, 19, 8, 15, 12, 25, 7, 6, 0, 25, 17, 4, 22, 8, 16, 15, 8, 15]"
