,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
0,0.1,0.1,0.1,0.1,0.1,0.00398406374501992,"[22, 10, 17, 10, 17, 17, 2, 24, 16, 2, 22, 0, 7, 7, 16, 15, 11, 16, 12, 24, 19, 9, 20, 18, 24, 2, 3, 22, 20, 9, 15, 6, 21, 6, 25, 10, 19, 21, 18, 11, 6, 5, 12, 25, 23, 23, 19, 21, 23, 4, 20, 3, 9, 26, 26, 3, 7, 14, 1, 25, 5, 26, 11, 12, 0, 1, 5, 0, 14, 4, 4, 13, 14, 8, 1, 13, 13, 18, 15, 8, 8]"
1,0.1,0.1,0.1,0.1,0.3,0.004032258064516129,"[22, 10, 17, 10, 17, 17, 2, 24, 16, 2, 22, 0, 7, 7, 16, 15, 11, 16, 12, 24, 19, 9, 20, 18, 24, 2, 3, 22, 20, 9, 15, 6, 21, 6, 25, 10, 19, 21, 18, 11, 6, 5, 12, 25, 23, 23, 19, 21, 23, 4, 20, 3, 9, 26, 26, 3, 7, 14, 1, 25, 5, 26, 11, 12, 0, 1, 5, 0, 14, 4, 4, 13, 14, 8, 1, 13, 13, 18, 15, 8, 8]"
2,0.1,0.1,0.1,0.3,0.1,0.004032258064516129,"[22, 10, 17, 10, 17, 17, 2, 24, 16, 2, 22, 0, 7, 7, 16, 15, 11, 16, 12, 24, 19, 9, 20, 18, 24, 2, 3, 22, 20, 9, 15, 6, 21, 6, 25, 10, 19, 21, 18, 11, 6, 5, 12, 25, 23, 23, 19, 21, 23, 4, 20, 3, 9, 26, 26, 3, 7, 14, 1, 25, 5, 26, 11, 12, 0, 1, 5, 0, 14, 4, 4, 13, 14, 8, 1, 13, 13, 18, 15, 8, 8]"
3,0.1,0.1,0.1,0.3,0.3,0.004048582995951417,"[22, 10, 17, 10, 17, 17, 2, 24, 16, 2, 22, 0, 7, 7, 16, 15, 11, 16, 12, 24, 19, 9, 20, 18, 24, 2, 3, 22, 20, 9, 15, 6, 21, 6, 25, 10, 19, 21, 18, 11, 6, 5, 12, 25, 23, 23, 19, 21, 23, 4, 20, 3, 9, 26, 26, 3, 7, 14, 1, 25, 5, 26, 11, 12, 0, 1, 5, 0, 14, 4, 4, 13, 14, 8, 1, 13, 13, 18, 15, 8, 8]"
4,0.1,0.1,0.3,0.1,0.1,0.004081632653061225,"[22, 10, 17, 10, 17, 17, 2, 24, 16, 2, 22, 0, 7, 7, 16, 15, 11, 16, 12, 24, 19, 9, 20, 18, 24, 2, 3, 22, 20, 9, 15, 6, 21, 6, 25, 10, 19, 21, 18, 11, 6, 5, 12, 25, 23, 23, 19, 21, 23, 4, 20, 3, 9, 26, 26, 3, 7, 14, 1, 25, 5, 26, 11, 12, 0, 1, 5, 0, 14, 4, 4, 13, 14, 8, 1, 13, 13, 18, 15, 8, 8]"
5,0.1,0.1,0.3,0.1,0.3,0.003937007874015748,"[19, 3, 24, 26, 3, 7, 13, 24, 2, 0, 24, 7, 5, 23, 13, 18, 22, 2, 18, 5, 5, 26, 22, 23, 12, 12, 20, 13, 20, 8, 0, 21, 18, 9, 21, 1, 26, 12, 21, 25, 20, 7, 0, 16, 10, 15, 9, 3, 19, 1, 6, 11, 16, 2, 9, 11, 8, 19, 10, 1, 14, 4, 15, 17, 15, 17, 14, 17, 6, 11, 14, 16, 8, 25, 4, 23, 25, 4, 22, 10, 6]"
6,0.1,0.1,0.3,0.3,0.1,0.004016064257028112,"[16, 19, 19, 26, 17, 17, 23, 6, 16, 9, 22, 10, 17, 26, 21, 22, 3, 5, 22, 23, 25, 9, 10, 13, 20, 11, 10, 6, 23, 6, 21, 21, 24, 25, 18, 16, 7, 13, 14, 7, 18, 19, 9, 11, 14, 20, 25, 0, 8, 13, 12, 7, 2, 24, 3, 5, 15, 24, 15, 1, 12, 14, 26, 5, 1, 11, 8, 4, 18, 8, 4, 2, 3, 4, 0, 2, 0, 20, 1, 15, 12]"
7,0.1,0.1,0.3,0.3,0.3,0.004016064257028112,"[5, 22, 21, 2, 8, 22, 0, 18, 11, 2, 21, 18, 9, 9, 22, 0, 16, 16, 25, 12, 12, 25, 3, 15, 24, 8, 15, 5, 11, 15, 23, 3, 10, 2, 7, 25, 10, 23, 11, 26, 20, 1, 8, 19, 24, 26, 19, 18, 20, 23, 12, 14, 17, 14, 4, 6, 5, 10, 21, 1, 0, 7, 4, 3, 19, 16, 6, 20, 24, 17, 7, 17, 6, 9, 1, 14, 26, 4, 13, 13, 13]"
8,0.1,0.3,0.1,0.1,0.1,0.004032258064516129,"[5, 22, 21, 2, 8, 22, 0, 18, 11, 2, 21, 18, 9, 9, 22, 0, 16, 16, 25, 12, 12, 25, 3, 15, 24, 8, 15, 5, 11, 15, 23, 3, 10, 2, 7, 25, 10, 23, 11, 26, 20, 1, 8, 19, 24, 26, 19, 18, 20, 23, 12, 14, 17, 14, 4, 6, 5, 10, 21, 1, 0, 7, 4, 3, 19, 16, 6, 20, 24, 17, 7, 17, 6, 9, 1, 14, 26, 4, 13, 13, 13]"
9,0.1,0.3,0.1,0.1,0.3,0.00398406374501992,"[5, 22, 21, 2, 8, 22, 0, 18, 11, 2, 21, 18, 9, 9, 22, 0, 16, 16, 25, 12, 12, 25, 3, 15, 24, 8, 15, 5, 11, 15, 23, 3, 10, 2, 7, 25, 10, 23, 11, 26, 20, 1, 8, 19, 24, 26, 19, 18, 20, 23, 12, 14, 17, 14, 4, 6, 5, 10, 21, 1, 0, 7, 4, 3, 19, 16, 6, 20, 24, 17, 7, 17, 6, 9, 1, 14, 26, 4, 13, 13, 13]"
