,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
0,0.2,0.2,0.2,0.2,0.2,0.002178649237472767,"[14, 1, 3, 20, 5, 14, 0, 14, 1, 3, 4, 0, 19, 17, 17, 24, 5, 25, 15, 9, 0, 22, 6, 26, 8, 16, 18, 10, 12, 2, 1, 11, 15, 2, 18, 21, 8, 13, 23, 24, 5, 9, 12, 4, 20, 26, 16, 19, 9, 17, 26, 4, 11, 2, 13, 21, 10, 22, 24, 3, 7, 22, 12, 6, 6, 7, 16, 10, 19, 23, 25, 11, 25, 18, 8, 13, 21, 7, 23, 20, 15]"
1,0.2,0.2,0.2,0.2,0.4,0.0022471910112359553,"[21, 17, 13, 5, 7, 11, 0, 8, 14, 24, 25, 23, 15, 9, 9, 6, 24, 8, 11, 17, 1, 19, 26, 23, 0, 24, 3, 23, 18, 1, 16, 6, 4, 6, 18, 7, 4, 0, 21, 5, 8, 14, 4, 14, 26, 5, 3, 26, 2, 16, 15, 11, 1, 17, 19, 20, 2, 20, 22, 25, 3, 13, 20, 7, 10, 18, 16, 25, 12, 22, 9, 19, 10, 13, 2, 15, 21, 12, 22, 12, 10]"
2,0.2,0.2,0.2,0.2,0.6,0.0023584905660377358,"[11, 20, 9, 7, 4, 5, 9, 18, 24, 9, 26, 15, 23, 23, 2, 0, 22, 11, 5, 11, 14, 14, 10, 7, 13, 14, 0, 20, 16, 17, 10, 3, 10, 4, 25, 19, 3, 16, 2, 22, 4, 0, 25, 26, 18, 18, 17, 6, 15, 1, 8, 6, 5, 12, 15, 3, 1, 2, 26, 8, 16, 1, 24, 21, 6, 24, 12, 21, 8, 23, 19, 7, 17, 12, 25, 20, 22, 21, 13, 13, 19]"
3,0.2,0.2,0.2,0.2,0.8,0.002304147465437788,"[6, 23, 3, 24, 21, 6, 15, 1, 18, 13, 20, 6, 11, 18, 22, 1, 2, 13, 26, 4, 2, 5, 11, 12, 14, 10, 0, 11, 10, 4, 8, 23, 20, 24, 15, 19, 14, 23, 10, 9, 26, 14, 20, 16, 16, 4, 19, 21, 2, 24, 25, 8, 18, 3, 16, 22, 5, 9, 15, 17, 25, 1, 8, 26, 25, 0, 12, 0, 3, 7, 12, 7, 17, 5, 17, 7, 9, 21, 19, 22, 13]"
4,0.2,0.2,0.2,0.2,1.0,0.002386634844868735,"[23, 10, 19, 9, 12, 19, 8, 23, 15, 7, 8, 6, 15, 2, 0, 15, 7, 22, 8, 6, 24, 16, 7, 4, 6, 4, 13, 12, 0, 26, 25, 11, 24, 14, 25, 10, 17, 16, 18, 5, 11, 2, 14, 9, 18, 1, 2, 21, 10, 22, 21, 13, 19, 3, 11, 18, 0, 22, 23, 9, 17, 1, 17, 25, 3, 3, 20, 1, 14, 16, 5, 24, 12, 26, 5, 4, 20, 21, 13, 26, 20]"
5,0.2,0.2,0.2,0.4,0.2,0.0022727272727272726,"[11, 19, 25, 10, 16, 1, 4, 25, 26, 19, 17, 11, 21, 17, 24, 8, 0, 11, 13, 12, 18, 22, 21, 18, 16, 3, 23, 14, 25, 2, 8, 9, 2, 5, 6, 18, 24, 24, 19, 10, 15, 22, 10, 13, 0, 9, 7, 1, 7, 26, 8, 6, 5, 15, 4, 0, 17, 20, 6, 9, 2, 14, 12, 23, 16, 20, 12, 5, 14, 26, 3, 23, 7, 20, 21, 4, 22, 3, 1, 13, 15]"
6,0.2,0.2,0.2,0.4,0.4,0.0022026431718061676,"[23, 15, 26, 20, 0, 0, 16, 15, 17, 25, 8, 7, 1, 2, 17, 3, 24, 22, 7, 19, 9, 2, 15, 23, 6, 18, 14, 9, 23, 12, 4, 20, 20, 1, 10, 4, 24, 5, 1, 16, 12, 26, 25, 10, 3, 14, 26, 8, 2, 11, 6, 18, 5, 16, 18, 7, 5, 9, 19, 21, 0, 19, 4, 11, 22, 8, 22, 13, 6, 24, 21, 11, 3, 17, 14, 10, 25, 21, 12, 13, 13]"
7,0.2,0.2,0.2,0.4,0.6,0.0024449877750611247,"[20, 10, 5, 4, 9, 14, 21, 6, 6, 1, 1, 0, 20, 17, 18, 10, 18, 23, 14, 8, 10, 11, 15, 13, 7, 25, 14, 16, 19, 0, 20, 26, 2, 3, 3, 15, 25, 6, 16, 11, 7, 25, 7, 21, 12, 19, 0, 24, 11, 26, 1, 18, 12, 2, 23, 13, 21, 8, 22, 22, 8, 2, 15, 9, 13, 22, 12, 17, 19, 4, 26, 5, 5, 4, 23, 16, 24, 9, 17, 3, 24]"
8,0.2,0.2,0.2,0.4,0.8,0.002369668246445498,"[24, 2, 10, 17, 13, 1, 4, 26, 19, 8, 25, 11, 22, 12, 18, 14, 26, 14, 1, 1, 13, 25, 6, 4, 20, 0, 5, 16, 3, 23, 18, 0, 16, 6, 22, 2, 8, 24, 10, 20, 9, 20, 17, 5, 2, 21, 19, 3, 15, 16, 11, 12, 6, 21, 10, 19, 24, 7, 7, 15, 9, 26, 13, 12, 23, 17, 7, 23, 0, 11, 18, 15, 3, 4, 25, 22, 9, 14, 8, 21, 5]"
9,0.2,0.2,0.2,0.4,1.0,0.0024096385542168677,"[10, 2, 21, 2, 11, 11, 17, 3, 21, 10, 21, 18, 14, 17, 11, 25, 24, 23, 6, 1, 19, 18, 22, 0, 18, 2, 13, 16, 1, 25, 4, 23, 5, 26, 10, 7, 12, 13, 3, 19, 8, 8, 22, 4, 16, 5, 4, 0, 7, 24, 14, 8, 16, 1, 13, 14, 15, 7, 17, 20, 22, 0, 9, 15, 6, 5, 12, 3, 19, 9, 24, 26, 23, 20, 26, 6, 20, 9, 15, 12, 25]"
10,0.2,0.2,0.2,0.6,0.2,0.002188183807439825,"[15, 10, 5, 15, 12, 1, 26, 9, 15, 6, 9, 11, 22, 20, 9, 8, 4, 16, 24, 23, 24, 2, 7, 26, 7, 3, 11, 10, 8, 1, 5, 14, 16, 25, 22, 6, 20, 23, 14, 10, 19, 25, 0, 23, 13, 11, 4, 18, 2, 2, 21, 13, 21, 3, 6, 0, 18, 19, 4, 8, 25, 20, 16, 17, 24, 17, 3, 18, 12, 0, 12, 13, 14, 26, 17, 5, 22, 19, 21, 7, 1]"
11,0.2,0.2,0.2,0.6,0.4,0.002352941176470588,"[19, 19, 2, 1, 1, 13, 3, 5, 5, 20, 2, 23, 15, 11, 21, 25, 14, 10, 24, 3, 22, 26, 17, 24, 18, 10, 9, 1, 17, 17, 16, 7, 7, 5, 15, 19, 3, 20, 9, 13, 10, 2, 25, 16, 11, 12, 0, 0, 23, 21, 8, 18, 6, 7, 23, 21, 14, 6, 22, 20, 8, 9, 22, 24, 12, 4, 11, 4, 18, 6, 13, 16, 12, 4, 26, 8, 0, 25, 26, 14, 15]"
12,0.2,0.2,0.2,0.6,0.6,0.0023752969121140144,"[5, 19, 22, 4, 10, 18, 4, 18, 18, 19, 26, 7, 0, 3, 3, 1, 6, 17, 15, 5, 16, 12, 7, 20, 14, 11, 24, 26, 17, 2, 14, 2, 11, 12, 2, 25, 26, 24, 5, 4, 25, 6, 10, 0, 23, 10, 16, 24, 1, 11, 9, 8, 14, 22, 21, 21, 3, 19, 8, 9, 8, 22, 9, 20, 7, 17, 13, 23, 20, 16, 12, 15, 23, 13, 13, 6, 21, 0, 25, 15, 1]"
13,0.2,0.2,0.2,0.6,0.8,0.0021691973969631237,"[5, 12, 10, 14, 4, 5, 22, 25, 2, 20, 20, 25, 0, 16, 26, 24, 11, 24, 26, 16, 5, 12, 21, 21, 10, 17, 3, 18, 0, 10, 18, 23, 26, 18, 2, 25, 0, 7, 6, 1, 17, 19, 4, 17, 15, 6, 1, 6, 11, 19, 3, 23, 14, 8, 2, 14, 8, 24, 15, 16, 3, 4, 8, 22, 9, 9, 22, 9, 19, 13, 12, 7, 23, 20, 1, 13, 11, 7, 21, 13, 15]"
14,0.2,0.2,0.2,0.6,1.0,0.002320185614849188,"[17, 11, 22, 11, 6, 9, 3, 18, 8, 24, 2, 6, 15, 16, 4, 20, 5, 19, 14, 26, 12, 23, 21, 10, 14, 20, 16, 25, 9, 21, 14, 25, 26, 20, 3, 15, 2, 23, 18, 7, 25, 18, 24, 8, 9, 19, 8, 17, 10, 10, 4, 3, 0, 17, 12, 19, 11, 16, 2, 1, 7, 13, 1, 7, 0, 24, 22, 22, 13, 5, 21, 6, 13, 23, 0, 4, 15, 5, 26, 12, 1]"
15,0.2,0.2,0.2,0.8,0.2,0.002277904328018223,"[1, 25, 16, 7, 4, 11, 0, 23, 10, 20, 14, 26, 17, 2, 22, 8, 21, 23, 25, 6, 1, 15, 18, 12, 21, 5, 7, 12, 9, 22, 15, 6, 8, 16, 10, 4, 20, 14, 10, 20, 12, 24, 0, 9, 24, 8, 16, 1, 19, 2, 18, 18, 11, 15, 22, 9, 14, 24, 4, 19, 7, 21, 13, 0, 11, 5, 13, 23, 3, 6, 26, 5, 3, 19, 17, 26, 2, 13, 3, 17, 25]"
16,0.2,0.2,0.2,0.8,0.4,0.0022675736961451248,"[22, 23, 1, 16, 7, 1, 13, 4, 24, 26, 2, 23, 4, 20, 9, 14, 25, 19, 13, 6, 4, 3, 6, 0, 7, 10, 8, 11, 12, 12, 25, 8, 16, 25, 10, 18, 15, 18, 9, 15, 0, 11, 2, 19, 17, 18, 15, 26, 5, 3, 3, 14, 20, 20, 16, 6, 22, 14, 17, 5, 11, 24, 22, 24, 10, 0, 23, 7, 2, 21, 19, 17, 26, 13, 8, 5, 21, 12, 21, 9, 1]"
17,0.2,0.2,0.2,0.8,0.6,0.0022271714922048997,"[8, 24, 22, 11, 10, 16, 5, 16, 3, 21, 7, 1, 5, 26, 20, 2, 14, 25, 25, 12, 6, 19, 3, 9, 7, 0, 0, 26, 26, 14, 6, 10, 5, 21, 10, 4, 23, 11, 14, 24, 17, 19, 2, 9, 8, 4, 6, 3, 20, 13, 19, 2, 15, 15, 12, 15, 22, 4, 13, 24, 22, 17, 11, 23, 17, 8, 16, 9, 23, 21, 13, 1, 18, 1, 18, 18, 25, 0, 20, 12, 7]"
