,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
0,0.1,0.1,0.1,0.1,0.1,0.004032258064516129,"[24, 24, 6, 15, 6, 13, 18, 10, 22, 10, 22, 8, 26, 3, 3, 2, 26, 16, 16, 7, 13, 18, 23, 20, 17, 25, 18, 13, 23, 25, 19, 4, 15, 2, 21, 4, 6, 14, 8, 0, 22, 23, 0, 12, 21, 1, 1, 19, 20, 14, 10, 26, 24, 25, 4, 9, 5, 0, 12, 21, 2, 9, 7, 9, 7, 12, 5, 3, 20, 14, 17, 8, 11, 1, 11, 15, 19, 11, 5, 17, 16]"
1,0.1,0.1,0.1,0.1,0.3,0.004166666666666667,"[22, 0, 21, 9, 21, 19, 6, 7, 15, 19, 22, 4, 23, 6, 7, 25, 15, 4, 18, 0, 20, 18, 1, 3, 7, 26, 26, 9, 14, 0, 20, 10, 19, 23, 13, 21, 26, 14, 22, 23, 8, 3, 1, 2, 24, 5, 25, 4, 18, 6, 15, 2, 1, 13, 9, 10, 17, 5, 11, 16, 25, 24, 11, 24, 17, 14, 16, 16, 8, 11, 8, 12, 20, 5, 2, 10, 13, 12, 12, 17, 3]"
2,0.1,0.1,0.1,0.1,0.5,0.004016064257028112,"[22, 6, 1, 23, 1, 17, 19, 15, 21, 17, 15, 21, 16, 25, 22, 18, 1, 25, 22, 18, 10, 6, 10, 13, 16, 20, 18, 14, 0, 9, 5, 6, 9, 20, 11, 14, 25, 16, 12, 2, 20, 3, 10, 0, 7, 21, 0, 23, 17, 4, 3, 13, 2, 15, 4, 26, 2, 24, 9, 4, 7, 23, 24, 8, 11, 24, 12, 7, 13, 5, 11, 14, 19, 3, 5, 19, 26, 26, 8, 12, 8]"
3,0.1,0.1,0.1,0.1,0.7,0.004098360655737705,"[7, 6, 7, 26, 5, 25, 20, 6, 5, 26, 1, 11, 0, 21, 25, 9, 20, 24, 0, 11, 18, 2, 21, 3, 10, 7, 3, 24, 15, 12, 21, 10, 12, 10, 20, 19, 19, 11, 15, 1, 2, 22, 14, 24, 15, 0, 17, 9, 23, 19, 3, 14, 16, 22, 17, 5, 16, 23, 13, 1, 4, 8, 26, 8, 23, 4, 17, 18, 4, 25, 16, 9, 18, 13, 2, 8, 12, 22, 13, 6, 14]"
4,0.1,0.1,0.1,0.1,0.9,0.004032258064516129,"[26, 21, 22, 4, 13, 15, 13, 11, 22, 2, 10, 21, 8, 4, 24, 12, 26, 21, 11, 15, 19, 3, 8, 9, 7, 19, 24, 18, 5, 20, 5, 25, 3, 22, 4, 14, 17, 2, 3, 6, 0, 12, 20, 9, 20, 12, 10, 23, 18, 8, 2, 11, 15, 26, 9, 14, 13, 6, 16, 17, 7, 23, 24, 18, 0, 5, 23, 25, 10, 25, 17, 1, 16, 1, 1, 7, 14, 0, 6, 16, 19]"
5,0.1,0.1,0.1,0.3,0.1,0.004166666666666667,"[0, 25, 1, 13, 2, 24, 11, 1, 20, 0, 2, 9, 26, 9, 24, 19, 1, 13, 22, 14, 17, 26, 22, 14, 13, 17, 16, 0, 20, 16, 22, 24, 12, 12, 25, 21, 6, 8, 11, 21, 2, 23, 5, 26, 6, 3, 16, 19, 18, 20, 7, 23, 19, 3, 8, 4, 6, 15, 7, 15, 9, 23, 3, 18, 4, 10, 5, 18, 21, 14, 11, 17, 12, 10, 25, 4, 10, 15, 5, 8, 7]"
6,0.1,0.1,0.1,0.3,0.3,0.003937007874015748,"[18, 21, 7, 11, 12, 12, 18, 4, 4, 10, 19, 16, 24, 3, 16, 15, 10, 19, 5, 21, 26, 8, 12, 25, 10, 7, 23, 6, 24, 26, 15, 1, 4, 15, 11, 8, 13, 22, 6, 2, 21, 22, 5, 24, 26, 14, 1, 23, 5, 3, 25, 17, 25, 13, 20, 3, 22, 1, 7, 14, 20, 23, 6, 18, 20, 16, 9, 2, 17, 14, 0, 13, 9, 8, 2, 9, 11, 0, 0, 17, 19]"
7,0.1,0.1,0.1,0.3,0.5,0.004132231404958678,"[11, 18, 16, 22, 16, 26, 2, 4, 18, 18, 22, 10, 21, 2, 21, 13, 26, 1, 5, 11, 13, 19, 9, 1, 10, 7, 25, 24, 12, 24, 5, 12, 15, 7, 24, 8, 23, 4, 7, 25, 15, 23, 11, 14, 26, 1, 17, 2, 0, 4, 20, 9, 14, 20, 14, 25, 10, 22, 19, 6, 21, 6, 23, 5, 20, 8, 17, 16, 6, 13, 0, 3, 0, 9, 3, 19, 3, 15, 8, 12, 17]"
8,0.1,0.1,0.1,0.3,0.7,0.004016064257028112,"[22, 2, 21, 1, 9, 6, 10, 22, 6, 10, 17, 14, 5, 3, 4, 21, 9, 22, 4, 24, 10, 6, 16, 2, 1, 15, 14, 4, 16, 0, 17, 24, 23, 18, 12, 21, 8, 16, 5, 2, 3, 25, 23, 0, 7, 18, 8, 23, 11, 25, 20, 1, 19, 15, 11, 7, 19, 0, 25, 26, 15, 8, 20, 12, 7, 18, 17, 11, 9, 3, 14, 5, 12, 26, 20, 13, 13, 26, 19, 24, 13]"
9,0.1,0.1,0.1,0.3,0.9,0.004048582995951417,"[4, 17, 25, 16, 4, 19, 17, 20, 12, 18, 12, 5, 3, 22, 3, 12, 16, 9, 20, 18, 23, 11, 26, 22, 0, 16, 5, 6, 22, 15, 20, 0, 8, 13, 8, 25, 23, 25, 19, 3, 21, 19, 9, 17, 15, 24, 23, 24, 10, 5, 11, 1, 26, 11, 21, 1, 24, 7, 6, 9, 1, 14, 7, 21, 8, 10, 13, 15, 10, 2, 2, 26, 0, 2, 14, 4, 18, 6, 13, 7, 14]"
