,Machine,Resource,Start,Finish,Task
0,Machine 1,Job 1,6/3/2022 10:00,6/4/2022 11:00,Task [ Job 0|  Machine 0]
1,Machine 3,Job 1,6/4/2022 11:00,6/5/2022 13:00,Task [ Job 0|  Machine 1]
2,Machine 5,Job 1,6/5/2022 13:00,6/7/2022 10:00,Task [ Job 0|  Machine 2]
3,Machine 2,Job 2,6/19/2022 9:00,6/20/2022 14:00,Task [ Job 1|  Machine 0]
4,Machine 4,Job 2,6/22/2022 10:00,6/23/2022 12:00,Task [ Job 1|  Machine 1]
5,Machine 6,Job 2,6/23/2022 12:00,6/25/2022 13:00,Task [ Job 1|  Machine 2]
6,Machine 1,Job 3,6/8/2022 15:00,6/9/2022 13:00,Task [ Job 2|  Machine 0]
7,Machine 3,Job 3,6/19/2022 11:00,6/20/2022 10:00,Task [ Job 2|  Machine 1]
8,Machine 5,Job 3,6/20/2022 10:00,6/21/2022 13:00,Task [ Job 2|  Machine 2]
9,Machine 2,Job 4,6/14/2022 9:00,6/15/2022 8:00,Task [ Job 3|  Machine 0]
10,Machine 4,Job 4,6/17/2022 10:00,6/18/2022 8:00,Task [ Job 3|  Machine 1]
11,Machine 5,Job 4,6/21/2022 13:00,6/23/2022 8:00,Task [ Job 3|  Machine 2]
12,Machine 1,Job 5,6/21/2022 15:00,6/23/2022 13:00,Task [ Job 4|  Machine 0]
13,Machine 3,Job 5,6/25/2022 8:00,6/26/2022 15:00,Task [ Job 4|  Machine 1]
14,Machine 7,Job 5,6/26/2022 15:00,6/29/2022 10:00,Task [ Job 4|  Machine 2]
15,Machine 2,Job 6,6/12/2022 15:00,6/14/2022 9:00,Task [ Job 5|  Machine 0]
16,Machine 4,Job 6,6/23/2022 12:00,6/24/2022 14:00,Task [ Job 5|  Machine 1]
17,Machine 5,Job 6,6/24/2022 14:00,6/26/2022 10:00,Task [ Job 5|  Machine 2]
18,Machine 1,Job 7,6/18/2022 12:00,6/19/2022 13:00,Task [ Job 6|  Machine 0]
19,Machine 3,Job 7,6/26/2022 15:00,6/28/2022 8:00,Task [ Job 6|  Machine 1]
20,Machine 8,Job 7,6/28/2022 8:00,6/29/2022 14:00,Task [ Job 6|  Machine 2]
21,Machine 2,Job 8,6/17/2022 12:00,6/19/2022 9:00,Task [ Job 7|  Machine 0]
22,Machine 4,Job 8,6/20/2022 11:00,6/22/2022 10:00,Task [ Job 7|  Machine 1]
23,Machine 7,Job 8,6/22/2022 10:00,6/24/2022 14:00,Task [ Job 7|  Machine 2]
24,Machine 1,Job 9,6/4/2022 11:00,6/5/2022 13:00,Task [ Job 8|  Machine 0]
25,Machine 3,Job 9,6/5/2022 13:00,6/6/2022 14:00,Task [ Job 8|  Machine 1]
26,Machine 8,Job 9,6/6/2022 14:00,6/8/2022 11:00,Task [ Job 8|  Machine 2]
27,Machine 2,Job 10,6/7/2022 10:00,6/9/2022 15:00,Task [ Job 9|  Machine 0]
28,Machine 4,Job 10,6/11/2022 12:00,6/14/2022 11:00,Task [ Job 9|  Machine 1]
29,Machine 9,Job 10,6/23/2022 9:00,6/26/2022 13:00,Task [ Job 9|  Machine 2]
30,Machine 1,Job 11,6/9/2022 13:00,6/11/2022 13:00,Task [ Job 10|  Machine 0]
31,Machine 3,Job 11,6/13/2022 9:00,6/15/2022 10:00,Task [ Job 10|  Machine 1]
32,Machine 6,Job 11,6/15/2022 10:00,6/18/2022 9:00,Task [ Job 10|  Machine 2]
33,Machine 2,Job 12,6/11/2022 14:00,6/12/2022 15:00,Task [ Job 11|  Machine 0]
34,Machine 4,Job 12,6/14/2022 11:00,6/15/2022 13:00,Task [ Job 11|  Machine 1]
35,Machine 8,Job 12,6/15/2022 13:00,6/17/2022 10:00,Task [ Job 11|  Machine 2]
36,Machine 1,Job 13,6/13/2022 9:00,6/15/2022 9:00,Task [ Job 12|  Machine 0]
37,Machine 3,Job 13,6/15/2022 10:00,6/17/2022 10:00,Task [ Job 12|  Machine 1]
